feature,pearson_r
atom_mean_gfn2_charge_nucleophilicity,-0.3488047398341845
atom_mean_gfn2_orbital_electrophilicity,-0.3037836460307289
atom_mean_gfn2_orbital_radical,-0.2964363324916953
atom_std_gfn2_orbital_electrophilicity,-0.2848517397258652
atom_std_gfn2_orbital_nucleophilicity,-0.27806164991960874
atom_std_gfn2_charge_nucleophilicity,-0.27117964595674793
atom_mean_gfn2_orbital_nucleophilicity,-0.2654918067807254
atom_std_gfn2_orbital_radical,-0.25493478638751277
atom_std_gfn2_charge_(wet_octanol),-0.20443150088591092
atom_std_gfn2_charge_(water),-0.20178587559036024
atom_max_gfn2_charge_nucleophilicity,-0.1971734474023928
atom_std_gfn2_charge,-0.1895966849952293
atom_max_group,0.18926998205974732
atom_mean_gfn2_charge_(water),0.1791712296625769
atom_mean_AM1_charge,0.1791712199702113
atom_mean_PM6_charge,0.1791712199702113
atom_mean_gfn2_charge,0.17917118243702643
atom_mean_gfn2_charge_(wet_octanol),0.17917116185047885
atom_max_gfn2_orbital_electrophilicity,-0.17087741561557104
atom_max_gfn2_charge_(wet_octanol),0.16616572141390532
atom_max_gfn2_charge,0.16456027775617588
atom_std_x,0.16371410246617263
atom_max_gfn2_charge_(water),0.16304098216257695
atom_std_z,0.15739721277482813
atom_std_y,0.14869418534383963
atom_min_gfn2_orbital_radical,-0.14682804998127394
atom_mean_gfn2_charge_nucleophilicity_softness,-0.14482840527858082
atom_mean_gfn2_charge_radical_softness,-0.1445269269126158
atom_mean_gfn2_charge_electrophilicity_softness,-0.14156974581517626
atom_max_gfn2_orbital_radical,-0.14101632222355212
atom_max_hybridisation,0.1406596641790642
mol_total_charge,0.13607691675514408
atom_min_gfn2_orbital_nucleophilicity,-0.1326323418758751
atom_min_gfn2_polarisation_(wet_octanol),-0.1312777830993145
atom_min_gfn2_polarisation,-0.1280697730958301
atom_mean_AM1_CM3_charge,0.12731411028304704
atom_mean_AM1_CM2_charge,0.12731410923761335
atom_mean_AM1_CM1_charge,0.12731410786340774
mol_molecular_weight,0.12464764126902488
atom_min_gfn2_orbital_radical_softness,-0.1224865506968021
atom_min_gfn2_polarisation_(water),-0.12131978285400463
atom_min_gfn2_orbital_nucleophilicity_softness,-0.1207234257054668
atom_mean_hybridisation,-0.11429993797562685
atom_std_gfn2_charge_nucleophilicity_softness,-0.10033634169852097
atom_min_AM1_CM1_charge,-0.09592312521144522
atom_max_AM1_CM2_charge,0.09126711327762883
atom_min_gfn2_orbital_electrophilicity,-0.0890143916365299
atom_min_gfn2_charge_nucleophilicity_softness,-0.08608592694698625
atom_mean_gfn2_orbital_electrophilicity_softness,-0.08380530990339896
atom_max_AM1_charge,0.08263862351279092
atom_max_PM6_charge,0.08263862351279092
atom_min_gfn2_orbital_electrophilicity_softness,-0.08071299062644323
mol_Ionization_Potential,-0.07471677802079851
atom_mean_group,-0.0746384965739455
atom_mean_gfn2_orbital_radical_softness,-0.07155841289052634
atom_std_AM1_CM1_charge,-0.0711773095645952
atom_max_AM1_CM3_charge,0.06624846989883273
atom_max_gfn2_orbital_nucleophilicity,-0.06249022499627695
atom_std_AM1_charge,-0.06007892080152809
atom_std_PM6_charge,-0.06007892080152809
atom_max_gfn2_charge_nucleophilicity_softness,-0.05805071956887578
atom_std_AM1_CM3_charge,-0.05690222913796908
atom_mean_gfn2_orbital_nucleophilicity_softness,-0.05607948390232178
atom_max_gfn2_orbital_nucleophilicity_softness,0.05229144563356324
atom_std_AM1_CM2_charge,-0.04836204286916088
atom_min_gfn2_charge_nucleophilicity,-0.043451825310317174
atom_mean_gfn2_charge_radical,-0.04182355742267192
atom_max_gfn2_orbital_radical_softness,0.03940324851321143
mol_Hardness,-0.03871638184947566
atom_min_hybridisation,-0.03334368201831214
mol_Electron_Affinity,0.033317054165959856
atom_min_group,-0.03330793097991437
atom_min_y,-0.032017706964831
atom_min_AM1_CM3_charge,-0.029929811527454556
atom_min_AM1_CM2_charge,-0.028812172487679852
atom_max_gfn2_orbital_electrophilicity_softness,0.028744067589805616
atom_max_z,0.028643759540530875
atom_min_AM1_charge,0.028576293976829432
atom_min_PM6_charge,0.028576293976829432
atom_std_gfn2_polarisation_(water),-0.028365020467103423
atom_max_gfn2_polarisation,0.02828433408696403
mol_Electronegativity,0.027781600873181624
atom_max_gfn2_polarisation_(wet_octanol),0.026505100807908404
atom_max_gfn2_polarisation_(water),0.025044323434559063
atom_std_gfn2_polarisation_(wet_octanol),-0.02465715944608912
atom_mean_gfn2_charge_electrophilicity,-0.024569548954187732
atom_mean_y,-0.022571710518499162
atom_min_gfn2_charge_(wet_octanol),0.01974028844039529
atom_min_gfn2_charge,0.019691333811502558
atom_mean_z,0.01942636076202798
atom_std_gfn2_polarisation,-0.018111580867782646
atom_std_group,0.016227873761743034
atom_max_y,-0.01311198109428244
atom_min_gfn2_charge_electrophilicity_softness,0.012810116895854668
atom_min_gfn2_charge_radical_softness,0.012810116805031902
atom_std_gfn2_charge_radical_softness,-0.012682043360448576
atom_std_gfn2_charge_electrophilicity_softness,-0.012682043162652968
atom_max_gfn2_charge_radical_softness,-0.012633810492341663
atom_max_gfn2_charge_electrophilicity_softness,-0.012633809503751375
atom_min_x,-0.011743238546037094
atom_min_z,0.010543459882550914
atom_max_x,0.009814377808544692
atom_max_gfn2_charge_radical,-0.008276460656660812
atom_max_gfn2_charge_electrophilicity,-0.008276459891783423
atom_std_gfn2_charge_radical,-0.008153101944815952
atom_std_gfn2_charge_electrophilicity,-0.008153101820699565
